Rf_avg_6b,VO2/kg_avg_6b,HR_avg_6b,Watts_avg_6b
21.385,9.29,79.16666667,50
16.765,9.415,82.33333333,50
17.50333333,9.828333333,84.83333333,50
18.04333333,10.4,85.66666667,50
18.20666667,10.64166667,84.83333333,50
18.055,10.525,88.16666667,50
19.33833333,11.38333333,89.33333333,50
18.765,10.86666667,85.83333333,50
16.95166667,10.39666667,91,50
20.885,11.885,88.16666667,70
23.76166667,12.58666667,92.16666667,70
18.06833333,11.54833333,91.66666667,70
22.685,12.135,92.16666667,70
21.13666667,13.1,96.5,70
20.70666667,13.09666667,102.3333333,70
19.785,13.31166667,101.6666667,70
20.64,13.68666667,103.5,70
19.70333333,13.13,103.6666667,70
21.79,13.875,101.6666667,70
19.525,14.275,100.6666667,90
19.89333333,15.03333333,108.1666667,90
22.58666667,15.56,110.6666667,90
22.11333333,15.51833333,115.1666667,90
23.99666667,14.65666667,116,90
22.82833333,16.00833333,116.8333333,90
23.27833333,15.945,119.1666667,90
22.33833333,15.72,122,90
28.955,17.86,122,90
23.27333333,17.25666667,119.3333333,90
24.30166667,17.56333333,119.3333333,90
22.51,16.23,120.8333333,106.6666667
25.355,17.63833333,128,110
28.35666667,16.58666667,132,110
27.63833333,18.77666667,129.8333333,110
29.08333333,17.34,138.3333333,110
30.92833333,17.89166667,137,110
27.32,18.405,137.3333333,110
29.75166667,18.23833333,142,110
28.70333333,18.675,143.3333333,110
30.29166667,18.205,145.6666667,110
33.115,19.96833333,146.6666667,110
33.70666667,19.62166667,151,110
31.415,18.855,151.5,110
31.315,19.36666667,149.8333333,110
33.345,19.31833333,149.8333333,120
29.32666667,18.09166667,154,130
30.99333333,19.89833333,155,130
31.76,19.21833333,156,130
29.86333333,19.05333333,156,130
32.115,20.91,157.6666667,130
28.72833333,19.51666667,160.8333333,130
32.955,20.395,162.5,130
35.37666667,20.83166667,163,130
37.23666667,19.96166667,162.5,130
34.60833333,20.72333333,159.6666667,130
32.32833333,20.31833333,164.1666667,130
33.71,22.60333333,165,130
34.195,23.305,165.5,130
39.26333333,22.275,166.8333333,130
35.49666667,23.27666667,167.1666667,130
40.19166667,21.62166667,169,130
36.50333333,21.48166667,169,150
40.745,22.365,168.3333333,150
,,,
,23.305,169,
,,,
,,,
,,,